Sample,X(ms) [12.08.2026 16:46:29 040 UTC],"I1[%I17.0]","I2[%I17.1]","I3[%I17.2]","I4[%I17.3]","Q1[%Q4.0]","Q2[%Q4.1]","Q3[%Q4.2]","Q4[%Q4.3]"
253298,1786553445696.511433,0,0,0,1,0,0,1,0
253299,1786553445697.517021,0,0,0,1,0,0,1,0
253300,1786553445698.544210,0,0,0,1,0,0,1,0
253301,1786553445699.573100,0,0,0,1,0,0,1,0
253302,1786553445700.564085,0,0,0,1,0,0,1,0
253303,1786553445701.566971,0,0,0,1,0,0,1,0
253304,1786553445702.574959,0,0,0,1,0,0,1,0
253305,1786553445703.581347,0,0,0,1,0,0,1,0
253306,1786553445704.592936,0,0,0,1,0,0,1,0
253307,1786553445705.599924,0,0,0,1,0,0,1,0
253308,1786553445706.605711,0,0,0,1,0,0,1,0
253309,1786553445707.615000,0,0,0,1,0,0,1,0
253310,1786553445708.621289,0,0,0,1,0,0,1,0
253311,1786553445709.630479,0,0,0,1,0,0,1,0
253312,1786553445710.638367,0,0,0,1,0,0,1,0
253313,1786553445711.646455,0,0,0,1,0,0,1,0
253314,1786553445712.708245,0,0,0,1,0,0,1,0
253315,1786553445713.679130,0,0,0,1,0,0,1,0
253316,1786553445714.683817,0,0,0,1,0,0,1,0
253317,1786553445715.697806,0,0,0,1,0,0,1,0
253318,1786553445716.738298,0,0,0,1,0,0,1,0
253319,1786553445717.721983,0,0,0,1,0,0,1,0
253320,1786553445718.721369,0,0,0,1,0,0,1,0
253321,1786553445719.730056,0,0,0,1,0,0,1,0
253322,1786553445720.736843,0,0,0,1,0,0,1,0
253323,1786553445721.744833,0,0,0,1,0,0,1,0
253324,1786553445722.753820,0,0,0,1,0,0,1,0
253325,1786553445723.761406,0,0,0,1,0,0,1,0
253326,1786553445724.781593,0,0,0,1,0,0,1,0
253327,1786553445725.778679,0,0,0,1,0,0,1,0
253328,1786553445726.792166,0,0,0,1,0,0,1,0
253329,1786553445727.798252,0,0,0,1,0,0,1,0
253330,1786553445728.804238,0,0,0,1,0,0,1,0
253331,1786553445729.821926,0,0,0,1,0,0,1,0
253332,1786553445730.828414,0,0,0,1,0,0,1,0
253333,1786553445731.843402,0,0,0,1,0,0,1,0
253334,1786553445732.844789,0,0,0,1,0,0,1,0
253335,1786553445733.854877,0,0,0,1,0,0,1,0
253336,1786553445734.870665,0,0,0,1,0,0,1,0
253337,1786553445735.867953,0,0,0,1,0,0,1,0
253338,1786553445736.876638,0,0,0,1,0,0,1,0
253339,1786553445737.884825,0,0,0,1,0,0,1,0
253340,1786553445738.895313,0,0,0,1,0,0,1,0
253341,1786553445739.901201,0,0,0,1,0,0,1,0
253342,1786553445740.910489,0,0,0,1,0,0,1,0
253343,1786553445741.924677,0,0,0,1,0,0,1,0
253344,1786553445743.111181,0,0,0,1,0,0,1,0
253345,1786553445743.970656,0,0,0,1,0,0,1,0
253346,1786553445744.969842,0,0,0,1,0,0,1,0
253347,1786553445745.969830,0,0,0,1,0,0,1,0
253348,1786553445746.995519,0,0,0,1,0,0,1,0
253349,1786553445747.993207,0,0,0,1,0,0,1,0
253350,1786553445749.020099,0,0,0,1,0,0,1,0
253351,1786553445750.013786,0,0,0,1,0,0,1,0
253352,1786553445751.018172,0,0,0,1,0,0,1,0
253353,1786553445752.025359,0,0,0,1,0,0,1,0
253354,1786553445753.032846,0,0,0,1,0,0,1,0
253355,1786553445754.041435,0,0,0,1,0,0,1,0
253356,1786553445755.049924,0,0,0,1,0,0,1,0
253357,1786553445756.055611,0,0,0,1,0,0,1,0
253358,1786553445757.075699,0,0,0,1,0,0,1,0
253359,1786553445758.074187,0,0,0,1,0,0,1,0
253360,1786553445759.081375,0,0,0,1,0,0,1,0
253361,1786553445760.090563,0,0,0,1,0,0,1,0
253362,1786553445761.101951,0,0,0,1,0,0,1,0
253363,1786553445762.114338,0,0,0,1,0,0,1,0
253364,1786553445763.121326,0,0,0,1,0,0,1,0
253365,1786553445764.153715,0,0,0,1,0,0,1,0
253366,1786553445765.146701,0,0,0,1,0,0,1,0
253367,1786553445766.152690,0,0,0,1,0,0,1,0
253368,1786553445767.162578,0,0,0,1,0,0,1,0
253369,1786553445768.171666,0,0,0,1,0,0,1,0
253370,1786553445769.180754,0,0,0,1,0,0,1,0
253371,1786553445770.190241,0,0,0,1,0,0,1,0
253372,1786553445771.200830,0,0,0,1,0,0,1,0
253373,1786553445772.209918,0,0,0,1,0,0,1,0
253374,1786553445773.225205,0,0,0,1,0,0,1,0
253375,1786553445774.230692,0,0,0,1,0,0,1,0
253376,1786553445775.240780,0,0,0,1,0,0,1,0
253377,1786553445776.250966,0,0,0,1,0,0,1,0
253378,1786553445777.256754,0,0,0,1,0,0,1,0
253379,1786553445778.269041,0,0,0,1,0,0,1,0
253380,1786553445779.276729,0,0,0,1,0,0,1,0
253381,1786553445780.362524,0,0,0,1,0,0,1,0
253382,1786553445781.306407,0,0,0,1,0,0,1,0
253383,1786553445782.331996,0,0,0,1,0,0,1,0
253384,1786553445783.324582,0,0,0,1,0,0,1,0
253385,1786553445784.354673,0,0,0,1,0,0,1,0
253386,1786553445785.355459,0,0,0,1,0,0,1,0
253387,1786553445786.354246,0,0,0,1,0,0,1,0
253388,1786553445787.362234,0,0,0,1,0,0,1,0
253389,1786553445788.369622,0,0,0,1,0,0,1,0
253390,1786553445789.615531,0,0,0,1,0,0,1,0
253391,1786553445790.484405,0,0,0,1,0,0,1,0
253392,1786553445791.481492,0,0,0,1,0,0,1,0
253393,1786553445792.478879,0,0,0,1,0,0,1,0
253394,1786553445793.483566,0,0,0,1,0,0,1,0
253395,1786553445794.492852,0,0,0,1,0,0,1,0
253396,1786553445795.497940,0,0,0,1,0,0,1,0
253397,1786553445796.512128,0,0,0,1,0,0,1,0
253398,1786553445797.511615,0,0,0,1,0,0,1,0
253399,1786553445798.520103,0,0,0,1,0,0,1,0
253400,1786553445799.547992,0,0,0,1,0,0,1,0
253401,1786553445800.559079,0,0,0,1,0,0,1,0
253402,1786553445801.558366,0,0,0,1,0,0,1,0
253403,1786553445802.563452,0,0,0,1,0,0,1,0
253404,1786553445803.589641,0,0,0,1,0,0,1,0
253405,1786553445804.586827,0,0,0,1,0,0,1,0
253406,1786553445805.589614,0,0,0,1,0,0,1,0
253407,1786553445806.597099,0,0,0,1,0,0,1,0
253408,1786553445807.603189,0,0,0,1,0,0,1,0
253409,1786553445808.610476,0,0,0,1,0,0,1,0
253410,1786553445809.619662,0,0,0,1,0,0,1,0
253411,1786553445810.629251,0,0,0,1,0,0,1,0
253412,1786553445811.639136,0,0,0,1,0,0,1,0
253413,1786553445812.693328,0,0,0,1,0,0,1,0
253414,1786553445813.685914,0,0,0,1,0,0,1,0
253415,1786553445814.680401,0,0,0,1,0,0,1,0
253416,1786553445815.687989,0,0,0,1,0,0,1,0
253417,1786553445816.695976,0,0,0,1,0,0,1,0
253418,1786553445817.704761,0,0,0,1,0,0,1,0
253419,1786553445818.712149,0,0,0,1,0,0,1,0
253420,1786553445819.733038,0,0,0,1,0,0,1,0
253421,1786553445820.734826,0,0,0,1,0,0,1,0
253422,1786553445821.742812,0,0,0,1,0,0,1,0
253423,1786553445822.750999,0,0,0,1,0,0,1,0
253424,1786553445823.761086,0,0,0,1,0,0,1,0
253425,1786553445824.787276,0,0,0,1,0,0,1,0
253426,1786553445825.780862,0,0,0,1,0,0,1,0
253427,1786553445826.787750,0,0,0,1,0,0,1,0
253428,1786553445827.792739,0,0,0,1,0,0,1,0
253429,1786553445828.799727,0,0,0,1,0,0,1,0
253430,1786553445829.822717,0,0,0,1,0,0,1,0
253431,1786553445830.826906,0,0,0,1,0,0,1,0
253432,1786553445831.828493,0,0,0,1,0,0,1,0
253433,1786553445832.837781,0,0,0,1,0,0,1,0
253434,1786553445833.842668,0,0,0,1,0,0,1,0
253435,1786553445835.113077,0,0,0,1,0,0,1,0
253436,1786553445835.936749,0,0,0,1,0,0,1,0
253437,1786553445836.915135,0,0,0,1,0,0,1,0
253438,1786553445837.908721,0,0,0,1,0,0,1,0
253439,1786553445838.913809,0,0,0,1,0,0,1,0
253440,1786553445839.927198,0,0,0,1,0,0,1,0
253441,1786553445840.935385,0,0,0,1,0,0,1,0
253442,1786553445841.942973,0,0,0,1,0,0,1,0
